date,price,product,store_name
10/01/2021,6.50 zł ,"Absolwent 40% 0,10L",Hurtownia alkoholi
10/01/2021,12.50 zł ,"Absolwent 40% 0,2L",Hurtownia alkoholi
10/01/2021,25.40 zł ,"Absolwent 40% 0,5L",Hurtownia alkoholi
10/01/2021,36.00 zł ,"Absolwent 40% 0,7L",Hurtownia alkoholi
10/01/2021,229.00 zł ,"Abyssal 40% 0,7l",Hurtownia alkoholi
10/01/2021,185.00 zł ,"Admirals Club 40% 1,75l",Hurtownia alkoholi
10/01/2021,99.00 zł ,"Amfora 40% 0,5l Kamionka",Hurtownia alkoholi
10/01/2021,42.00 zł ,"Amundsen 40% 0,5l",Hurtownia alkoholi
10/01/2021,48.00 zł ,"Amundsen 40% 0,5l",Hurtownia alkoholi
10/01/2021,50.00 zł ,"Amundsen 40% 0,7l",Hurtownia alkoholi
10/01/2021,69.00 zł ,Amundsen 40% 1l,Hurtownia alkoholi
10/01/2021,30.06 zł ,"Anatevka Kosher Vodka 40% 0,5l",Hurtownia alkoholi
10/01/2021,245.00 zł ,"Anestasia 40% 0,7l",Hurtownia alkoholi
10/01/2021,118.00 zł ,"Apteczka Na 167 Boleści 4x0,1l",Hurtownia alkoholi
10/01/2021,118.00 zł ,"Apteczka Zestaw Na Ostry Wieczór Nocne Harce 4x0,1l",Hurtownia alkoholi
10/01/2021,135.00 zł ,"Aquavit Linie 41,5% 0,70l",Hurtownia alkoholi
10/01/2021,135.00 zł ,"Armata  Whisky Joe Rebel 40% 0,35l",Hurtownia alkoholi
10/01/2021,135.00 zł ,"Armata 40% 0,35l",Hurtownia alkoholi
10/01/2021,148.00 zł ,"Armata 40% 0,5l",Hurtownia alkoholi
10/01/2021,118.00 zł ,Baba Jaga Kula 40% 1l,Hurtownia alkoholi
10/01/2021,47.99 zł ,"Baczewski 40% 0,5l",Hurtownia alkoholi
10/01/2021,55.00 zł ,"Baczewski 40% 0,7l",Hurtownia alkoholi
10/01/2021,70.00 zł ,"Baczewski Jeżynówka 38% 0,5l",Hurtownia alkoholi
10/01/2021,62.00 zł ,"Baczewski Orzechówka 38% 0,5l",Hurtownia alkoholi
10/01/2021,70.00 zł ,"Baczewski Pomarańczówka 38% 0,5l",Hurtownia alkoholi
10/01/2021,140.50 zł ,"Baczewski Suweren 40%  0,7l",Hurtownia alkoholi
10/01/2021,40.00 zł ,"Baltic Wódka 40% 0,5l",Hurtownia alkoholi
10/01/2021,46.50 zł ,"Becherovka 38% 0,5L",Hurtownia alkoholi
10/01/2021,63.00 zł ,"Becherovka 38% 0,7L",Hurtownia alkoholi
10/01/2021,179.00 zł ,"Beluga 40% 0,7l",Hurtownia alkoholi
10/01/2021,340.70 zł ,"Beluga Allure 40% 0,7l",Hurtownia alkoholi
10/01/2021,492.00 zł ,"Beluga Gold Line 40% 0,7l Skóra",Hurtownia alkoholi
10/01/2021,180.00 zł ,"Beluga Noble Celebration 40% 0,7l",Hurtownia alkoholi
10/01/2021,265.00 zł ,"Beluga Transatlantic 40% 0,7l",Hurtownia alkoholi
10/01/2021,200.00 zł ,"Beluga Transatlantic 40% 0,7l",Hurtownia alkoholi
10/01/2021,117.00 zł ,"Belvedere 40% 0,5L",Hurtownia alkoholi
10/01/2021,149.00 zł ,"Belvedere 40% 0,7L",Hurtownia alkoholi
