date,price,product,store_name
06/01/2021,"22,99 ",Saska Pigwa 0.5l,Foczka Alkohole
06/01/2021,"22,99 ","Saska Wiśnia z Nutą Rumu 0,5l, ",Foczka Alkohole
06/01/2021,"26,29 ","She 0,5l",Foczka Alkohole
06/01/2021,"33,99 ","Smirnoff Black 0,5l",Foczka Alkohole
06/01/2021,"23,69 ","Sobieski 0,5l",Foczka Alkohole
06/01/2021,"34,99 ","Soplica 0,7l",Foczka Alkohole
06/01/2021,"21,89 ","Soplica Cytryna – Mięta 0,5l, ",Foczka Alkohole
06/01/2021,"21,99 ","Soplica Cytryna-Malina 0,5L",Foczka Alkohole
06/01/2021,"5,69 ",Soplica Cytrynowa z nutą miodu 100 ml,Foczka Alkohole
06/01/2021,"5,69 ",Soplica Malinowa 100 ml,Foczka Alkohole
06/01/2021,"21,89 ",Soplica Mirabelka 0.5l,Foczka Alkohole
06/01/2021,"5,69 ",Soplica Mirabelkowa 100 ml,Foczka Alkohole
06/01/2021,"5,69 ",Soplica Orzech Laskowy 100 ml,Foczka Alkohole
06/01/2021,"5,69 ",Soplica Pigwowa 100 ml,Foczka Alkohole
06/01/2021,"24,49 ",Soplica Przepalana Klasyczna 0.5l,Foczka Alkohole
06/01/2021,"24,49 ",Soplica Przepalana z Suszem 0.5l,Foczka Alkohole
06/01/2021,"7,29 ",Soplica Przepalana z Suszem Owocowym 100 ml,Foczka Alkohole
06/01/2021,"21,89 ",Soplica Śliwkowa 0.5l,Foczka Alkohole
06/01/2021,"69,99 ","Soplica Staropolska Dereniowa 0,7l",Foczka Alkohole
06/01/2021,"69,99 ","Soplica Staropolska Głogowa 0,7L",Foczka Alkohole
06/01/2021,"69,99 ","Soplica Staropolska Jeżyna 37,5 % 0,7l, ",Foczka Alkohole
06/01/2021,"22,99 ","Soplica Szlachecka 0,5 l",Foczka Alkohole
06/01/2021,"5,69 ",Soplica Truskawkowa 100 ml,Foczka Alkohole
06/01/2021,"5,69 ",Soplica Wiśniowa 100 ml,Foczka Alkohole
06/01/2021,"26,99 ","Stock Citron 0,5l",Foczka Alkohole
06/01/2021,"26,99 ","Stock Cranberry 0,5l",Foczka Alkohole
06/01/2021,"26,99 ","Stock Grapefriut 0,5l, ",Foczka Alkohole
06/01/2021,"31,40 ","Stock Grapefruit 0,7l",Foczka Alkohole
06/01/2021,"26,99 ","Stock Lemon Sour 0,5l,",Foczka Alkohole
06/01/2021,"37,99 ","Stock Prestgie 0,7l",Foczka Alkohole
06/01/2021,"54,99 ",Stock Prestgie 1l,Foczka Alkohole
06/01/2021,"23,89 ","Stock Prestgie Gold 0,5l.",Foczka Alkohole
06/01/2021,"31,99 ","Stock Prestgie Gold 0,7l",Foczka Alkohole
06/01/2021,"22,89 ",Stock Prestige 0.5l,Foczka Alkohole
06/01/2021,"39,99 ","Stock Prestige w kartoniku 0,7l",Foczka Alkohole
06/01/2021,"27,59 ","Stumbras Centenary 0,5l",Foczka Alkohole
06/01/2021,"28,89 ","Stumbras Potato 0,5 l",Foczka Alkohole
06/01/2021,"26,49 ",Stumbras Pure 0.5l,Foczka Alkohole
06/01/2021,"32,99 ","STUMBRAS QUINCE PIGWA 0,5L",Foczka Alkohole
06/01/2021,"27,99 ","Toruńska Czysta 0,5l, ",Foczka Alkohole
06/01/2021,"27,99 ",Toruńska FLORAL 0.5l,Foczka Alkohole
06/01/2021,"27,99 ","Toruńska Gorzko 0,5l",Foczka Alkohole
06/01/2021,"25,49 ","Toruńska Greenery 0,5l, ",Foczka Alkohole
06/01/2021,"27,99 ","Toruńska LOVE BLACK/WHITE 0,5l ",Foczka Alkohole
06/01/2021,"27,99 ","Toruńska LOVE BOHO 0,5l, ",Foczka Alkohole
06/01/2021,"27,99 ",Toruńska Love Glamour On i Ona,Foczka Alkohole
06/01/2021,"27,99 ","Toruńska MR & MRS 0,5l",Foczka Alkohole
06/01/2021,"25,49 ","Toruńska Rockabilly 0,5l, ",Foczka Alkohole
06/01/2021,"25,49 ","Toruńska Rustic 0,5l, ",Foczka Alkohole
06/01/2021,"49,99 ","Uniejów 0,5l",Foczka Alkohole
06/01/2021,"26,39 ","Wataha 0,5l.",Foczka Alkohole
06/01/2021,"37,49 ","Wataha 0,7l",Foczka Alkohole
06/01/2021,"34,34 ","Wódka Dębowa 0,5l",Foczka Alkohole
06/01/2021,"27,99 ","Wokulski Craft 0,5l",Foczka Alkohole
06/01/2021,"23,79 ","Wyborowa 0,5L",Foczka Alkohole
06/01/2021,"35,90 ","Wyborowa 0,7l",Foczka Alkohole
06/01/2021,"49,99 ",Wyborowa 1l,Foczka Alkohole
06/01/2021,"31,11 ","Wyborowa od Mistrza 0,5l",Foczka Alkohole
06/01/2021,"40,99 ","Wyborowa od Mistrza 0,7l",Foczka Alkohole
06/01/2021,"24,99 ","Wyborowa Polska Pszenica 0,5l",Foczka Alkohole
06/01/2021,"24,99 ","Wyborowa Polski Ziemniak 0,5l",Foczka Alkohole
06/01/2021,"20,65 ","Wyborowa Śliwka 0,5l",Foczka Alkohole
06/01/2021,"20,65 ",Wyborowa Wiśnia 0.5l!,Foczka Alkohole
06/01/2021,"31,00 ","Żołądkowa De Luxe 0,7l",Foczka Alkohole
06/01/2021,"42,99 ",Żołądkowa de Luxe 0.1l,Foczka Alkohole
06/01/2021,"20,89 ",Żołądkowa de Luxe 0.5l,Foczka Alkohole
06/01/2021,"27,00 ","Żołądkowa Gorzka 0,5l, ",Foczka Alkohole
06/01/2021,"27,00 ","Żołądkowa Gorzka Czarna Wiśnia 0,5l, ",Foczka Alkohole
06/01/2021,"22,99 ","Żołądkowa Gorzka Rześka Limonka z Mięta 0,5l, ",Foczka Alkohole
06/01/2021,"22,99 ","Żołądkowa Gorzka Rześka Pigwa z Miętą 0,5l, ",Foczka Alkohole
06/01/2021,"27,00 ","Żołądkowa Gorzka z Mięta 0,5l",Foczka Alkohole
06/01/2021,"24,99 ","Żołądkowa Kolonialna Cayemites Bay z Nutą Brandy 0,5l",Foczka Alkohole
06/01/2021,"20,49 ","Żubrówka Biała 0,5L",Foczka Alkohole
06/01/2021,"33,99 ","Żubrówka Biała 0,7l",Foczka Alkohole
06/01/2021,"44,99 ",Żubrówka Biała 1l,Foczka Alkohole
06/01/2021,"22,02 ","Żubrówka Bison Grass 37,5% 0,5L, ",Foczka Alkohole
06/01/2021,"28,98 ","Żubrówka Bison Grass 37,5% 0,7L, ",Foczka Alkohole
06/01/2021,"29,99 ","Żubrówka Czarna 0,5l",Foczka Alkohole
06/01/2021,"50,05 ",Żubrówka Czarna 1l,Foczka Alkohole
06/01/2021,"42,99 ","Żubrówka Czarna Dąb 0,7l",Foczka Alkohole
06/01/2021,"22,99 ","Żubrówka Leśna Poziomka 0,5l",Foczka Alkohole
06/01/2021,"21,99 ","Żytniówka 0,5l,",Foczka Alkohole
